Such a sweet painting! Happy to sell a giclee of it! http://fb.me/1uPPiRMne&nbsp;
Reworked and finished. 18 x 27 x 2 inches, sides are painted, ready to hang.  Morning Get Away. When they hang in... http://fb.me/1ePzzojkp&nbsp;
NOt sure where I am going with this yet...it is in progress to Andrew Swift&#39;s music, son of artist Sallie-Anne Swift http://fb.me/1jxv7H4G6&nbsp;
Adding more color and texture.... 30 x 40 x 2 inches. Solid Oil no Impasto.  Spirit Paint Fury http://fb.me/Y7krb3ez&nbsp;
White Daisy Painting by Lady L from Texas Artist Laurie Pace http://nblo.gs/wrOSa&nbsp;
Morning Get Away Horse Painting by Texas Artist Laurie Pace http://nblo.gs/wwDXS&nbsp;
On my Easel Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/wzDmC&nbsp;
Horse Painting in Progress by Texas Artist Laurie Pace http://nblo.gs/wCiEM&nbsp;
Fury Horse Painting Completed! By Texas Artist Laurie Pace http://nblo.gs/wELQv&nbsp;
Crowning the Hill, A Horse Painting by Texas Artist Laurie Pace http://nblo.gs/wHEVk&nbsp;
Landscape sketch Painting on Canvas by Texas Artist Laurie Pace http://nblo.gs/wJKTj&nbsp;
Longhorn Sketches by Texas Artist Laurie Pace http://nblo.gs/wLykB&nbsp;
Longhorn Sketches for Painting by Texas Artist Laurie Pace http://nblo.gs/wOcTD&nbsp;
Longhorn Sketches for Longhorn Painting by Texas Artist Laurie Pace http://nblo.gs/wRCuo&nbsp;
Blue Hills First Base Coat by Texas Artist Laurie Pace http://nblo.gs/wUqM6&nbsp;
Blue Hills Palette Knife Landscape Painting by Texas Artist Laurie Pace http://nblo.gs/wWRDk&nbsp;
Blue Hills progresses, Landscape Painting by A Texas Artist Laurie Pace http://nblo.gs/wZfwX&nbsp;
Blue Hills A Palette Knife Landscape by Texas Artist Laurie Pace http://nblo.gs/x1G9x&nbsp;
Longhorn Painting on canvas by Texas Artist Laurie Pace http://nblo.gs/x3oOV&nbsp;
Blue Hills Palette Knife Landscape By Texas Artist Laurie Pace http://nblo.gs/x5Ls0&nbsp;
Longhorn Painting in progress by Texas Artist Laurie Pace http://nblo.gs/x8Onu&nbsp;
Big Tree Longhorns One by Texas Artist Laurie Pace http://nblo.gs/xbGx5&nbsp;
Big Tree Longhorn Painting by A Texas Artist Laurie Pace http://nblo.gs/xe74A&nbsp;
The Boys, Portrait by Texas Artist Laurie Pace http://nblo.gs/xgiBC&nbsp;
Just sold RED SHOED PONIES at Mirada Fine Art. Thank you Steve. http://fb.me/1P6SRgB6S&nbsp;
Back to the Longhorn Painting by Texas Artist Laurie Pace http://nblo.gs/xiXwZ&nbsp;
Enclosed, Nude Abstract Painting by Texas Artist Laurie Pace http://nblo.gs/xkRiR&nbsp;
Red Shoed Pony Painting Sold at Mirada Fine Art, Texas Artist Laurie Pace http://nblo.gs/xna4S&nbsp;
Empowered by the Father, Words of my Heart by Texas Artist Laurie Pace http://j.mp/IWa2qd&nbsp;
&quot;Wine Cups and Indian Blankets&quot; - An original 8x6 inch landscape oil painting by George De Chiara http://j.mp/LFk1pT&nbsp;
Fragments of Thought - Original Abstract by Filomena de Andrade Texas Contemporary Artist http://j.mp/LFkuZ6&nbsp;
Indian Blanket by Sheri Jones http://j.mp/LFl0X7&nbsp;
Enclosed Abstract Nude by Texas Artist Laurie Pace http://j.mp/LFl616&nbsp;
http://pinterest.com/pin/54958057923089225/&nbsp;… Visual Language Magazine from CFAI.co    International Contemporary Fine Art
Longhorn two Painting on the canvas, A Texas Artist Laurie Pace http://nblo.gs/xqgoy&nbsp;
Artists of Texas: http://bit.ly/JAwerW&nbsp;
Longhorn 2 Painting continues, by A Texas Artist Laurie Pace http://nblo.gs/xtEY0&nbsp;
Thick layering of Paint Longhorn Painting Two by Texas Artist Laurie Pace http://nblo.gs/xw9Bb&nbsp;
We are at 3000 readers! http://issuu.com/cfai.co/docs/visual_language_vol_1_no_4?mode=window=%23222222&nbsp;… http://pinterest.com/pin/54958057923103492/&nbsp;… via @pinterest
http://robincheers  http://issuu.com/cfai.co/docs/visual_language_vol_1_no_4?mode=window=%23222222&nbsp;… http://pinterest.com/pin/54958057923103492/&nbsp;… via @pinterest
http://artistsofarizona.blogspot.com&nbsp;     http://issuu.com/cfai.co/docs/visual_language_vol_1_no_4?mode=window=%23222222&nbsp;… http://pinterest.com/pin/54958057923103492/&nbsp;… via @pinterest
My new Pony book is out for 2012. The Spirit of the Paint. http://pinterest.com/pin/54958057923103492/&nbsp;… via @pinterest
http://ArtistsofAlabama.blogspot.com&nbsp;     http://issuu.com/cfai.co/docs/visual_language_vol_1_no_4?mode=window=%23222222&nbsp;… http://pinterest.com/pin/54958057923103492/&nbsp;… via @pinterest
SALLIE-ANNE SWIFT http://issuu.com/cfai.co/docs/visual_language_vol_1_no_4?mode=window=%23222222&nbsp;… http://pinterest.com/pin/54958057923103492/&nbsp;… via @pinterest
http://issuu.com/cfai.co/docs/visual_language_vol_1_no_4?mode=window=%23222222&nbsp;… http://pinterest.com/pin/54958057923103492/&nbsp;… via @pinterest
Jeanne Illenye http://issuu.com/cfai.co/docs/visual_language_vol_1_no_4?mode=window=%23222222&nbsp;… http://pinterest.com/pin/54958057923103492/&nbsp;… via @pinterest
In the Garden Painting Children, by A Texas Artist Laurie Pace http://nblo.gs/xydQN&nbsp;
Reunion Impressionistic Painting in the Garden by Texas Artist Laurie Pace http://nblo.gs/xA9Ao&nbsp;
Wolves of Snake River Painting in Progress By Texas Artist Laurie Pace http://nblo.gs/xEX8N&nbsp;
Of the Evening   24 x 30 inches nude  just finished in the studio...or close to finished. http://fb.me/1JGKYuKAa&nbsp;
Wolf Painting continued by A Texas Artist Laurie Pace http://nblo.gs/xHtEe&nbsp;
Values and Contrast Snake River Wolf Painting by Texas Artist Laurie Pace http://nblo.gs/xKRcI&nbsp;
http://pinterest.com/pin/54958057923132017/&nbsp;… $500 cash prise best of show. OPEN to all artists.
http://pinterest.com/pin/54958057923132155/&nbsp;… Texas Contemporary Fine Artist Laurie Pace
Wolves of Snake River in progress, Wolf Painting by Texas Artist Laurie Pace http://nblo.gs/xNywM&nbsp;
Wolves of Snake River, Wildlife Wolf Painting by A Texas Artist Laurie Pace http://nblo.gs/xPEUx&nbsp;
Begonia Flower Painting by A Texas Artist Laurie Pace http://nblo.gs/xRbnT&nbsp;
His Morning Glories: Burst into Bloom Morning Glories http://hismorningglories.blogspot.com/2012/05/burst-into-bloom-morning-glories.html?spref=tw&nbsp;…
http://pinterest.com/pin/54958057923149963/&nbsp;… $149 First Painting of Summer Horses 100 days of color painting horses  Texas Equine Artist Laurie Pace
Of the Evening Nude Painting by Texas Artist Laurie Pace http://nblo.gs/xU2wb&nbsp;
White Wind Horse Painting by A Texas Artist Laurie Pace http://nblo.gs/xWwBE&nbsp;
Summer Horse Painting One, One Hundred Horse Paintings the Colors of Summer 2012 , by A Texas Artist ... http://nblo.gs/xYhLh&nbsp;
Summer Horse 2 Painting, One Hundred Horse Paintings for One Hundred Days of Summer for $100, by A Te... http://nblo.gs/y0UNF&nbsp;
http://pinterest.com/pin/54958057923173677/&nbsp;… 100 days of 100 horses for $100 each from Texas Equine Artist Laurie Pace
Summer Horse Painting 3, One Hundred Horse Paintings for One Hundred Days of Summer for $100  by Texa... http://nblo.gs/y36We&nbsp;
http://pinterest.com/pin/54958057923178666/&nbsp;… CFAI Figurative Summer show open to ALL artists. 500 dollars best of Show first prize.
Summer Horse 4 , 100 Horses of Summer for 100 Days of Summer for $100 each by Texas Artist Laurie Pace http://nblo.gs/y5bKL&nbsp;
Summer Horse Painting 5, 100 Horses for 100 Days of Summer for $100 each by Texas Artist Laurie Pace http://nblo.gs/y6Cme&nbsp;
Summer Horse Painting 6, 100 Horses for 100 Days of Summer for $100 each by a Texas Artist Laurie Pace http://nblo.gs/y89c7&nbsp;
Summer Horse Painting 7 by Texas Artist Laurie Pace, 100 Horses for 100 Days of Summer for $100 each. http://nblo.gs/y9YWr&nbsp;
Summer Horse Painting 8 by Texas Artist Laurie Pace http://nblo.gs/yc4OK&nbsp;
August 11th, Dutch Art Gallery in Dallas I will be teaching a one day workshop with the Palette knife.  Come join...http://fb.me/1IGnSAqU3&nbsp;
Summer Horse Two for $100  I have already sold One, Six and Seven. http://fb.me/1NBsj6Gj1&nbsp;
Summer Horse Three for $100. http://fb.me/17QNraZko&nbsp;
Summer Horse Four for $100 http://fb.me/uqQAvQz8&nbsp;
Summer Horse 9, 100 horse paintings in 100 Days from Texas Artist Laurie Pace http://nblo.gs/yedfB&nbsp;
Summer Horse 11 , 100 Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/ygwsO&nbsp;
Summer Horse 12, 100 Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/yiQTy&nbsp;
Summer Horse 10, 100 horses of summer by Texas Artist Laurie Pace http://nblo.gs/ykm9s&nbsp;
Summer Horse 13, 100 Horses for 100 Days of Summer for $100 each, by Texas Artist Laurie Pace http://nblo.gs/ym16c&nbsp;
http://pinterest.com/pin/54958057923234197/&nbsp;… Colors on George Ayers Palette CFAI.co
http://pinterest.com/pin/54958057923234209/&nbsp;… Interview with cfai.co artist Joe Mancuso
http://pinterest.com/pin/54958057923234215/&nbsp;… Mujer-de-Mercado by Susan Santiango  Time to submit work to the CFAI.co juried show. There is a $500 for best of show.
http://pinterest.com/pin/54958057923234221/&nbsp;… Art Challenge – May 2012 – “Sunshine” — Contemporary Fine Art International  BEST OF SHOW! Carol Peterson
Summer Horse 14, 100 Horses for 100 Days of Summer for $100 each. by Texas Artist Laurie Pace http://nblo.gs/yoeUQ&nbsp;
This sold today to a new owner in Colorado. Thank you! http://fb.me/1XT4McyyF&nbsp;
This sold today to a new collector in California. Thank you! http://fb.me/1I13QhkfL&nbsp;
Just sold on Cfai.co. Thank you!!! http://fb.me/zjE43Qmp&nbsp;
Summer Horse 15 100 Horses for 100 Days of Summer for $100 each, Texas Artist Laurie Pace http://nblo.gs/yqCqh&nbsp;
Just finished this yesterday entitled RELATIONSHIPS and it is 22 x 28 and available.  Sounds like a relationship... http://fb.me/1J3XkZTXk&nbsp;
Summer Horse 16 100 Horses for 100 Days of Summer for $100 each, by Texas Artist Laurie Pace http://nblo.gs/ysRVY&nbsp;
http://pinterest.com/pin/54958057923253665/&nbsp;… 24 x 36 Sunlight Play newly painted and posted for sale on CFAI.co by Texas Artist Laurie Pace
Summer Horse 17  Horse Painting by Texas Artist Laurie Pace  100 horses for 100 days for $100 each. http://nblo.gs/yvfgv&nbsp;
http://pinterest.com/pin/54958057923255398/&nbsp;… 100 Horse Paintings in !00 Day for $100 each. A Texas Artist Laurie Pace
http://pinterest.com/pin/54958057923255615/&nbsp;… JUST RELEASED!http://issuu.com/cfai.co/docs/visual_language_vol_1_no_5?mode=window=%23222222&nbsp;…
http://pinterest.com/pin/54958057923257480/&nbsp;… Summer Horse No 17 by Texas Artist Laurie Pace
Laurie Pace sold a 16.00&quot; x 16.00&quot; print on http://FineArtAmerica.com&nbsp;! http://fineartamerica.com/saleannouncement.html?id=3d306d66825309b5cde202f526244931&nbsp;… via @fineartamerica
http://pinterest.com/pin/54958057923258174/&nbsp;… Summer Horse 3 by Texas Artist Laurie Pace $100
http://pinterest.com/pin/54958057923260336/&nbsp;… Summer Horse no 20 from Texas Artist Laurie Pace $100
http://pinterest.com/pin/54958057923260338/&nbsp;… Summer Horse Nine by Texas Artist Laurie Pace $100
Summer Horse 18,100 Horses for 100 Days of Summer for $100 each by Texas Artist Laurie Pace http://nblo.gs/yxTuI&nbsp;
Summer Horse 19, 100 Horses for 100 Days for $100 by Texas Artist Laurie Pace http://nblo.gs/yAbQm&nbsp;
Summer Horse Twenty, 100 Horses for 100 Days for $100 each by Texas Artist Laurie Pace http://nblo.gs/yCLej&nbsp;
http://pinterest.com/pin/54958057923274027/&nbsp;… 100 Horse Paintings in 100 Days of Summer for $100 from Texas Equine Artist Laurie Pace
http://pinterest.com/pin/54958057923274032/&nbsp;… $450 from Texas Equine Artist Laurie Pace
Summer Horse 21 100 horse paintings for 100 Days for $100 each by Texas Artist Laurie Pace http://nblo.gs/yFqk1&nbsp;
Summer Horse Painting 27 by Texas Artist Laurie Pace http://nblo.gs/yH5rX&nbsp;
Summer Horse 22 100 Horse Paintings for 100 Days for $100 Each by Texas Artist Laurie Pace http://nblo.gs/yIgP9&nbsp;
http://pinterest.com/pin/54958057923288628/&nbsp;… Another wonderful original from three yr old Lady L.  Check out the video of this painting from sketch to canvas.
Summer Horse 23 , 100 Horse Paintings in 100 Days for $100 each, by Texas Artist Laurie Pace http://nblo.gs/yKXzX&nbsp;
Summer Horse 9 of 100 Horses for 100 days of Summer for $100 http://fb.me/1aXlkj4i5&nbsp;
Summer Horse 22 http://fb.me/1ZDK1g7y8&nbsp;
Summer Horse 24 by Texas Equine Artist Laurie Pace, 100 horses for 100 Days of Summer for $100 each http://nblo.gs/yNu2c&nbsp;
Summer Horse 25 by Texas Artist Laurie Pace, 100 Horse Paintings for 100 Days for $100 each. http://nblo.gs/yQ1Nv&nbsp;
Summer Horse 26 by Texas Equine Artist Laurie Pace, 100 horse paintings for 100 days of summer for $1... http://nblo.gs/yRHS4&nbsp;
Summer Horse Painting no 27 by Texas Artist Laurie Pace http://nblo.gs/yTwIK&nbsp;
Summer Horse Painting no 28 by Texas Artist Laurie Pace http://nblo.gs/yW8UX&nbsp;
http://pinterest.com/pin/54958057923326887/&nbsp;… Summer Horse 31   100 Horse Paintings for 100 Days for $100  by Laurie Pace
Summer Horse 31 By Texas Artist Laurie Pace... 9 x 12 http://fb.me/25fkAB5Hj&nbsp;
Summer Horse 27 by Laurie Pace http://fb.me/1ZHqGEM8W&nbsp;
Summer Horse 29
Summer Horse 26 http://fb.me/1SglnnV43&nbsp;
Summer Horse 3 http://fb.me/1QjRmUjWr&nbsp;
I have sold all but three of the 31 horse paintings done this month.  Please stop by and see if there is one left... http://fb.me/1XBM3agfF&nbsp;
http://pinterest.com/pin/54958057923329046/&nbsp;… $100 on CFai.co by Kimberly Conrad. Stunning Collectible Art
Summer Horse 29 by Texas Artist Laurie Pace http://nblo.gs/yYZ02&nbsp;
Listed it on CFAI.co tonight and it sold within a minute. Thank you! http://fb.me/17a4rOE7Q&nbsp;
Summer Horse 33 just sold as well..only up for maybe 30 seconds... but going to a wonderful home. Thank you.... http://fb.me/1LFGezZ6x&nbsp;
Summer Horse 30, Texas Artist Laurie Pace http://nblo.gs/z1FFs&nbsp;
@DrTCB2010  Good to see you on Twitter Dr B
Summer Horse 31 from Texas Artist Laurie Pace 100 Horse Paintings in 100 Days of Summer for $100 each. http://nblo.gs/z4jSo&nbsp;
Available! Summer horse 36.  Just posted. http://fb.me/1TvWF3MMG&nbsp;
Just posted Summer Horse 37 and it sold immediately. Thank you! http://fb.me/1PJbn6zAo&nbsp;
http://pinterest.com/pin/54958057923348551/&nbsp;… Built 1/72 Hasegawa F4F Butch O&#39;Hare Medal of Honor 1942 off the Lexington for sale...ready to display | eBay
Summer Horse 32 by Texas Artist Laurie Pace, 100 Horse Paintings in 100 Days of Summer for $100 each. http://nblo.gs/z6FlJ&nbsp;
Summer Horse 33 by Texas Artist Laurie Pace, 100 Horse Paintings for 100 Days of Summer for $100 http://nblo.gs/z8sbx&nbsp;
His Morning Glories: Abundance in His Morning Glories http://hismorningglories.blogspot.com/2012/06/abundance-in-his-morning-glories.html?spref=tw&nbsp;…
Summer Horse 34, by Texas Artist Laurie Pace, 100 Horses for 100 Days of Summer for $100 each. http://nblo.gs/zasnM&nbsp;
http://pinterest.com/pin/54958057923365162/&nbsp;… Todays $100 painting from Laurie Pace on CFAI.co  SUMMER HEAT  100 horse paintings in 100 summer days for $100 each
http://pinterest.com/pin/54958057923365267/&nbsp;… Summer Horse 39  100 days of 100 Horse Paintings for $100 by Texas Artist Laurie Pace
Summer Horse 39... the last for tonight. http://fb.me/1CLm7iRVz&nbsp;
Summer Horse 35 by Texas Artist Laurie Pace 100 Horse Paintings for 100 Days of Summer for $100 each. http://nblo.gs/zd7ah&nbsp;
Summer Horse 36 by Texas Artist Laurie Pace, 100 Horse Paintings in 100 Days for $100 each. http://nblo.gs/zfM8F&nbsp;
http://pinterest.com/pin/54958057923380822/&nbsp;… Summer Horse 40, 100 Horse Paintings for 100 Days of Summer for $100 each. Texas Artist Laurie Pace
http://pinterest.com/pin/54958057923380906/&nbsp;… Summer Horse 41 from Texas Artist Laurie Pace. 100 horses in 100 days for $100 each.
http://pinterest.com/pin/54958057923381503/&nbsp;… 22 x 28 inches of incredible color from Texas Artist Laurie Pace. $2250 RELATIONSHIPS.. gotta see it to understand it!
Summer Horse 37 by Texas Artist Laurie Pace, 100 Horse Paintings for 100 Days of Summer for $100 each. http://nblo.gs/zhRkH&nbsp;
Summer Horse 38, by Texas Equine Artist Laurie Pace, 100 Horse Paintings for 100 Days of Summer for  ... http://nblo.gs/zl45j&nbsp;
Support CFAI in obtaining grant money for our artists... http://lnkd.in/Q3VvwP&nbsp;
PLEASE go vote for CFAI  Sacramento location for us to be considered for a grant for our artists. http://fb.me/2dvOVwfJn&nbsp;
Mission: Small Business℠: http://bit.ly/OJyySW&nbsp;
https://www.missionsmallbusiness.com/&nbsp;     Please go vote for CFAI to help promote Artists around the world! http://pinterest.com/pin/54958057923394863/&nbsp;… via @pinterest
Summer Horse 39, by Texas Artist Laurie Pace, 100 Horse paintings in 100 days for $100 each. http://nblo.gs/znzWv&nbsp;
©Laurie Pace   Graphics One Design 1998-2012Contact Laurie for Commission work or to purchase a paint... http://nblo.gs/zoPKI&nbsp;
Summer Horse 40 by Texas Artist Laurie Pace, 100 horse paintings for 100 days for $100 each. http://nblo.gs/zpFhl&nbsp;
Summer Horse 41 by Texas Artist Laurie Pace, 100 horse paintings for 100 days of summer for $100 each. http://nblo.gs/zs0sT&nbsp;
http://pinterest.com/pin/54958057923408953/&nbsp;…  This is summer horse 41 from 100 Horse Paintings in 100 Days for $100 and is available.
NOW AVAILABLE.. Summer Horse 41. $100 http://fb.me/21csk0lFE&nbsp;
http://pinterest.com/pin/54958057923410172/&nbsp;… july 2012 Southwest Art Ad featuring some incredible artists.
http://pinterest.com/pin/54958057923410325/&nbsp;… Read about Texas Artist George DeChiara at CFAI.co
http://pinterest.com/pin/54958057923410335/&nbsp;… Missouri Artist Lorrie Boydston is a featured artist on CFAI.co Colors on my Palette.
Summer Horse 42 by Texas Artist Laurie Pace 100 Horse Paintings for 100 Days for $100 each http://nblo.gs/zuOfI&nbsp;
Summer Horse 43 by Texas Artist Laurie Pace 100 Horse Paintings for 100 Days for $100 each. http://nblo.gs/zxhg4&nbsp;
Summer Horse 44 by Texas Artist Laurie Pace, 100 Horse Paintings for 100 Days for $100 each. http://nblo.gs/zzz38&nbsp;
http://pinterest.com/pin/54958057923426946/&nbsp;… 100 horse paintings or 100 days  of Summer for $100 each
Summer Horse 45 by Texas Artist Laurie Pace 100 Horses for 100 Days of Summer for $100 each. http://nblo.gs/zC5G2&nbsp;
Summer Horse 46 by Texas Artist Laurie Pace, 100 Horse Paintings for 100 Days for $100 Each. http://nblo.gs/zE0lS&nbsp;
http://pinterest.com/pin/54958057923440876/&nbsp;… Energy 100 horse paintings for 100 days for $100.
http://pinterest.com/pin/54958057923441914/&nbsp;… Big John
Summer Horse 47 by Texas Artist Laurie Pace, 100 Horse Paintings in 100 days of summer for $100 each http://nblo.gs/zFtpf&nbsp;
Summer Horse 48 from Texas Artist Laurie Pace, 100 horses for 100 summer days for $100 each. http://nblo.gs/zH8md&nbsp;
Summer Horse 49 by Texas Artist Laurie Pace, 100 Horses for 100 days for $100 each http://nblo.gs/zIXHb&nbsp;
